training data finished
1-th trial
epoch:   1/100, lr: 0.00010, loss(mean):  0.29447 (121s) 
epoch:   2/100, lr: 0.00010, loss(mean):  0.28337 (123s) 
epoch:   3/100, lr: 0.00010, loss(mean):  0.27339 (123s) 
epoch:   4/100, lr: 0.00010, loss(mean):  0.26444 (123s) 
epoch:   5/100, lr: 0.00010, loss(mean):  0.25731 (123s) 
epoch:   6/100, lr: 0.00010, loss(mean):  0.25002 (123s) 
epoch:   7/100, lr: 0.00010, loss(mean):  0.24438 (123s) 
epoch:   8/100, lr: 0.00010, loss(mean):  0.23872 (123s) 
epoch:   9/100, lr: 0.00010, loss(mean):  0.23406 (123s) 
epoch:  10/100, lr: 0.00010, loss(mean):  0.22996 (123s) 
epoch:  11/100, lr: 0.00010, loss(mean):  0.22604 (123s) 
epoch:  12/100, lr: 0.00010, loss(mean):  0.22213 (123s) 
epoch:  13/100, lr: 0.00010, loss(mean):  0.21892 (123s) 
epoch:  14/100, lr: 0.00010, loss(mean):  0.21578 (123s) 
epoch:  15/100, lr: 0.00010, loss(mean):  0.21308 (124s) 
epoch:  16/100, lr: 0.00010, loss(mean):  0.20994 (123s) 
epoch:  17/100, lr: 0.00010, loss(mean):  0.20792 (124s) 
epoch:  18/100, lr: 0.00010, loss(mean):  0.20596 (124s) 
epoch:  19/100, lr: 0.00010, loss(mean):  0.20336 (123s) 
epoch:  20/100, lr: 0.00010, loss(mean):  0.20139 (124s) 
epoch:  21/100, lr: 0.00010, loss(mean):  0.19970 (123s) 
epoch:  22/100, lr: 0.00010, loss(mean):  0.19795 (123s) 
epoch:  23/100, lr: 0.00010, loss(mean):  0.19701 (123s) 
epoch:  24/100, lr: 0.00010, loss(mean):  0.19460 (123s) 
epoch:  25/100, lr: 0.00010, loss(mean):  0.19299 (123s) 
epoch:  26/100, lr: 0.00010, loss(mean):  0.19114 (123s) 
epoch:  27/100, lr: 0.00010, loss(mean):  0.18994 (123s) 
epoch:  28/100, lr: 0.00010, loss(mean):  0.18873 (123s) 
epoch:  29/100, lr: 0.00010, loss(mean):  0.18766 (123s) 
epoch:  30/100, lr: 0.00010, loss(mean):  0.18568 (123s) 
epoch:  31/100, lr: 0.00010, loss(mean):  0.18508 (123s) 
epoch:  32/100, lr: 0.00010, loss(mean):  0.18436 (123s) 
epoch:  33/100, lr: 0.00010, loss(mean):  0.18249 (124s) 
epoch:  34/100, lr: 0.00010, loss(mean):  0.18200 (123s) 
epoch:  35/100, lr: 0.00010, loss(mean):  0.18049 (123s) 
epoch:  36/100, lr: 0.00010, loss(mean):  0.17931 (123s) 
epoch:  37/100, lr: 0.00010, loss(mean):  0.17862 (123s) 
epoch:  38/100, lr: 0.00010, loss(mean):  0.17712 (123s) 
epoch:  39/100, lr: 0.00010, loss(mean):  0.17664 (123s) 
epoch:  40/100, lr: 0.00010, loss(mean):  0.17551 (123s) 
epoch:  41/100, lr: 0.00010, loss(mean):  0.17507 (123s) 
epoch:  42/100, lr: 0.00010, loss(mean):  0.17396 (123s) 
epoch:  43/100, lr: 0.00010, loss(mean):  0.17233 (123s) 
epoch:  44/100, lr: 0.00010, loss(mean):  0.17225 (123s) 
epoch:  45/100, lr: 0.00010, loss(mean):  0.17199 (123s) 
